company_name,company_url,revenue,current_tech_use
"mcrae, james l",mcraejamesl.com,636276776,salesforce
mcgraths seafood,mcgrathsseafood.com,654457492,google analytics
"kummerer, j michael esq",kummererjmichael.com,839422482,hubspot
"stoffer, james m jr",stofferjamesmjr.com,645336381,zendesk
north central fl sfty cncl,northcentralflsftycncl.com,286595890,bigcommerce
fiorucci foods usa inc,ioruccifoodsusa.com,832860476,hubspot
sign all,signall.com,738651202,google analytics
sammys steak den,sammyssteakden.com,80148212,google analytics
"dobscha, stephen f esq",dobschastephenf.com,666409320,shopify
morgan custom homes,morgancustomhomes.com,214267314,zendesk
olsen payne & company,olsenpaynecompany.com,686486496,shopify
cowan & kelly,cowankelly.com,190219794,shopify
"johnson, wes esq",johnsonwes.com,382931438,zendesk
icn pharmaceuticals inc,icnpharmaceuticals.com,87225993,amazon pay
new england sec equip co inc,newenglandsecequipco.com,657892773,marketo
"tippett, troy m ii",tippetttroymii.com,431341440,marketo
atc contracting,atccontracting.com,377918718,salesforce
"pagano, philip g esq",paganophilipg.com,29412186,bigcommerce
kwikprint,kwikprint.com,449418103,salesforce
buergi & madden scale,buergimaddenscale.com,104844530,marketo
inner label,innerlabel.com,429637713,hubspot
hermar inc,hermar.com,337667207,google analytics
simonton howe & schneider pc,simontonhoweschneiderpc.com,575507745,hubspot
warehouse office & paper prod,warehouseofficepaperprod.com,873674180,shopify
affiliated with travelodge,affiliatedwithtravelodge.com,493017155,shopify
